Instance,Makespan (s),De-ice start,De-ice end,Obj. value,Runway hold (s)
FPT01,,,,,
FPT02,9000,15:15:00,17:45:00,22111200,1440
FPT03,9600,15:35:00,18:00:00,23896800,1320
FPT04,9180,16:00:00,18:20:00,7462800,1140
FPT05,10860,16:20:00,18:45:00,3045600,540
FPT06,9960,13:45:00,16:30:00,25455600,960
FPT07,9360,14:20:00,16:45:00,12301200,1020
FPT08,9720,14:40:00,17:20:00,1965600,900
FPT09,9900,15:10:00,17:50:00,2008800,1500
FPT10,10200,15:40:00,18:25:00,3085200,1020
FPT11,11400,16:15:00,19:05:00,3279600,780
FPT12,12720,16:30:00,19:30:00,2772000,360
