Instance,Makespan (s),De-ice start,De-ice end,Obj. value,Runway hold (s)
FPT01,9480,14:35:00,17:11:00,6393600,1740
FPT02,9060,15:15:00,17:46:00,7027200,900
FPT03,9600,15:30:00,18:06:00,7401600,1020
FPT04,9180,16:01:00,18:26:00,3441600,1740
FPT05,10860,16:20:00,18:45:00,1854000,1860
FPT06,9960,13:45:00,16:31:00,9291600,1140
FPT07,9360,14:17:00,16:47:00,5734800,900
FPT08,9720,14:37:00,17:22:00,1184400,1200
FPT09,10020,15:10:00,17:55:00,1443600,1080
FPT10,10200,15:37:00,18:26:00,1447200,1260
FPT11,11400,16:17:00,19:05:00,1486800,900
FPT12,12720,16:30:00,19:31:00,914400,1380
