Instance,Makespan (s),De-ice start,De-ice end,Obj. value,Runway hold (s)
1,2250,,,6150600,0
2,5730,07:43:30,07:43:30,6211800,0
3,5730,07:43:30,08:05:30,2531700,0
4,3973,08:10:30,08:15:30,1757016,279
5,4800,08:10:30,08:35:30,1757463,282
6,4500,08:10:30,08:45:30,1757463,282
7,4500,08:10:30,08:45:30,1757463,282
8,4500,08:10:30,08:45:30,1757463,282
9,4500,08:10:30,08:45:30,1757463,282
10,4500,08:10:30,08:45:30,1757463,282
11,2490,,,6405100,0
12,4110,10:18:00,10:18:00,6258889,0
13,3900,06:31:00,07:00:30,5219198,0
14,4800,,,96634,0
15,5430,06:31:00,07:00:30,9321870,403
16,5430,06:31:00,07:00:30,9354411,409
17,4920,18:00:30,18:00:30,1228836,3
18,5100,18:00:30,18:00:30,1181338,3
19,8610,06:41:00,08:07:00,81924356,840
20,8610,06:41:00,08:07:00,81924356,840
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,8850,06:41:00,08:32:00,168238000,1186
27,8850,06:41:00,08:32:00,168146800,1186
28,9060,07:30:30,09:41:00,527677383,503
29,9060,07:30:30,09:41:00,533081783,503
30,9060,07:30:30,09:41:00,533081783,503
