Instance,Makespan (s),De-ice start,De-ice end,Obj. value,Runway hold (s)
1,2250,-,-,6150600,0
2,5730,07:43:30,07:43:30,6211800,0
3,5730,07:43:30,08:05:30,2531700,0
4,3900,08:05:30,08:15:30,1543918,33
5,4800,08:05:30,08:35:30,1543918,33
6,4500,08:05:30,08:45:30,1543918,33
7,4500,08:05:30,08:45:30,1543918,33
8,4500,08:05:30,08:45:30,1543918,33
9,4500,08:05:30,08:45:30,1543918,33
10,4500,08:05:30,08:45:30,1543918,33
11,2490,-,-,6405100,0
12,4110,10:18:00,10:18:00,6258889,0
13,3900,06:31:00,07:00:30,5219198,0
14,4800,-,-,96634,0
15,5430,06:33:53,07:00:30,9321870,27
16,5430,06:33:53,07:00:30,9354411,33
17,4920,18:00:33,18:00:33,1228836,0
18,5100,18:00:33,18:00:33,1181338,0
19,8610,06:46:00,08:07:00,81879518,80
20,8610,06:46:00,08:07:00,81879518,80
21,9150,06:43:40,08:17:57,95779413,220
22,8850,06:43:40,08:18:30,95051253,434
23,8850,06:43:40,08:18:30,95051253,434
24,8850,06:43:40,08:18:30,91264053,434
25,8850,06:43:40,08:18:30,91264053,434
26,8850,06:42:37,08:35:33,94105246,94
27,8850,06:42:37,08:35:33,94105246,94
28,7996,07:30:30,09:28:46,148502147,122
29,7996,07:30:30,09:28:46,149874032,122
30,7996,07:30:30,09:28:46,149874032,122
