Instance,Makespan (s),De-ice start,De-ice end,Obj. value,Runtime (ms)
1,2250,-,-,6150600,...
2,5730,07:43:30,07:43:30,6211800,...
3,5730,07:43:30,08:05:30,2531700,...
4,3973,08:10:30,08:15:30,1757016,...
5,4800,08:10:30,08:35:30,1757463,...
6,4500,08:10:30,08:45:30,1757463,...
7,4500,08:10:30,08:45:30,1757463,...
8,4500,08:10:30,08:45:30,1757463,...
9,4500,08:10:30,08:45:30,1757463,...
10,4500,08:10:30,08:45:30,1757463,...
11,2490,-,-,6405100,...
12,4110,10:18:00,10:18:00,6258889,...
13,3900,06:31:00,07:00:30,5219198,...
14,4800,-,-,96634,...
15,5430,06:31:00,07:00:30,9321870,...
16,5430,06:31:00,07:00:30,9354411,...
17,4920,18:00:30,18:00:30,1228836,...
18,5100,18:00:30,18:00:30,1181338,...
19,8610,06:41:00,08:12:00,95660838,...
20,8610,06:41:00,08:12:00,95660838,...
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,8850,06:41:00,08:32:00,168238000,...
27,8850,06:41:00,08:32:00,168146800,...
28,9060,07:30:30,09:41:00,527677383,...
29,9060,07:30:30,09:41:00,533081783,...
30,9060,07:30:30,09:41:00,533081783,...
